,Nutr. Units / FU,"Resampled, Randomized Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Without Resampling or Randomization (original study data, after harmonizing methodology)",,,,,,,,,,,
,,Land Use (m2/nutritional unit),,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2013 incl CC feedbacks)",,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2007)",,,,,,"Acidifying Emissions (g SO2eq/NU, CML2 Baseline)",,,,,,"Eutrophying Emissions (g PO43-eq/NU, CML2 Baseline)",,,,,,Freshwater Withdrawals (L/NU),,,,,,Stress-Weighted Water Use (L/NU),,,,,,Land Use (m2/FU),,"GHG (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,"Acid. (kg SO2eq/FU, CML2 Baseline)",,"Eutr. (kg PO43-eq/FU, CML2 Baseline)",,Fresh W. (L/FU),,Strs. W. WU (L/FU),
Product,,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
Brassicas,-,0.2,0.2,0.6,0.3,0.8,2.3,0.2,0.2,0.5,0.4,1.0,1.2,0.2,0.2,0.5,0.4,1.0,1.2,3.9,4.5,8.2,8.8,11,11,1.2,1.6,5.0,5.7,7.8,8.1,0,0,119,55,253,642,0,0,"8,455","2,483","19,799","60,921",0.1,4.0,0.2,2.4,1.9,10.6,0.9,6.6,0,656,0,"62,329"
Other Vegetables,-,0.2,0.2,0.4,0.2,0.8,1.1,0.2,0.2,0.5,0.4,1.0,1.1,0.2,0.2,0.5,0.4,1.0,1.1,2.6,2.9,6.4,3.7,6.6,10,0.9,1.1,2.3,1.8,2.5,4.9,56,56,103,81,168,360,900,"2,568","4,911","2,940","11,098","14,549",0.0,3.7,0.1,12.3,1.5,62.9,0.3,15.5,0,"1,436",0,"78,312"
Citrus Fruit,-,0.3,0.4,0.9,0.7,1.8,1.8,0.01,0.1,0.4,0.3,0.6,0.7,0.01,0.1,0.4,0.3,0.6,0.7,2.2,2.6,4.0,3.8,6.0,6.2,0.3,0.3,2.2,1.7,6.5,6.5,0,0,83,37,185,245,0,0,"4,663","1,346","17,561","21,647",0.3,1.8,0.0,2.7,1.7,6.4,0.3,6.5,0,518,0,"46,579"
Bananas,-,0.2,0.3,1.9,1.4,3.0,9.4,0.6,0.6,0.9,0.8,1.2,1.3,0.6,0.6,0.9,0.8,1.2,1.3,4.1,4.5,6.4,6.1,8.6,10,1.5,1.7,3.3,2.1,5.8,6.4,0,0,115,1,320,376,0,1,662,31,"1,480","4,676",0.2,17.6,0.5,1.6,3.4,13.8,1.5,37.4,0,855,0,"6,147"
Apples,-,0.3,0.3,0.6,0.5,1.0,1.0,0.3,0.3,0.4,0.4,0.6,0.6,0.3,0.3,0.4,0.4,0.6,0.6,1.8,2.1,3.5,4.0,4.5,4.6,0.4,0.5,1.5,2.0,2.0,2.1,0,1,180,115,585,585,0,26,"12,949","1,025","52,972","52,972",0.2,1.5,0.2,1.2,1.5,5.5,0.2,4.2,0,"1,776",0,"52,972"
Berries & Grapes,-,0.2,0.3,2.4,2.6,6.9,6.9,0.6,0.8,1.5,1.4,2.7,2.9,0.7,0.8,1.5,1.4,2.7,2.9,4.1,4.8,12,6.9,39,39,0.6,0.7,6.1,1.0,17,17,134,134,420,404,"1,027","1,027",325,"7,867","21,162","16,245","43,005","43,007",0.2,6.9,0.4,8.4,2.8,87.7,0.6,17.4,11,"1,027",20,"43,007"
Wine,12.5,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.4,0.7,0.7,1.0,0.9,1.9,2.6,0.04,0.2,0.4,0.3,0.8,1.0,0,0,6,0,26,28,1,2,92,5,139,149,0.1,0.4,0.1,0.4,0.4,2.9,0.0,1.0,0,48,0,"2,958"
Other Fruit,-,0.2,0.2,0.9,0.9,1.4,1.9,0.3,0.4,1.1,0.7,2.9,3.0,0.3,0.3,1.1,0.7,2.9,2.9,3.2,3.6,5.8,5.4,8.1,9.0,0.8,1.0,2.4,2.1,4.2,5.2,0,0,154,4,701,798,0,0,"9,533",5,"19,158","76,052",0.2,6.9,0.0,4.9,3.1,22.1,0.7,20.1,0,"2,507",0,"142,269"
Coffee,67,0.1,0.1,0.3,0.2,0.6,0.6,0.1,0.1,0.4,0.1,1.3,1.3,0.1,0.1,0.4,0.1,1.3,1.3,0.8,0.8,1.2,1.3,1.6,1.6,0.6,0.6,1.7,0.7,4.1,4.1,0,0,0,0,1,1,0,0,5,5,12,12,0.1,3.5,0.1,1.3,0.5,2.7,0.2,4.0,0,1,0,12
Dark Chocolate,20,1.1,1.7,3.4,2.7,6.2,7.2,-0.2,-0.01,2.3,0.2,6.7,13,-0.2,0.00,2.3,0.2,6.6,13,0.3,0.3,2.3,1.5,6.2,8.4,0.2,0.2,4.4,3.4,12,12,0,0,27,1,3,13,0,4,144,11,81,296,1.0,7.9,-0.2,12.9,0.3,8.4,0.2,11.9,0,"1,776",0,"8,204"
